pathway	gene
UNFOLDED_PROTEIN_BINDING	AFG3L2
UNFOLDED_PROTEIN_BINDING	MKKS
CHAPERONE_MEDIATED_PROTEIN_FOLDING	DNAJC24
CHAPERONE_MEDIATED_PROTEIN_FOLDING	PEX19
CHAPERONE_MEDIATED_PROTEIN_FOLDING	P3H1
CHAPERONE_MEDIATED_PROTEIN_FOLDING	FKBP2
CHAPERONE_MEDIATED_PROTEIN_FOLDING	DNAJC5
CHAPERONE_MEDIATED_PROTEIN_FOLDING	PDIA4
CHAPERONE_MEDIATED_PROTEIN_FOLDING	PDCD5
CHAPERONE_MEDIATED_PROTEIN_FOLDING	FKBP11
CHAPERONE_MEDIATED_PROTEIN_FOLDING	CRTAP
PROTEIN_FOLDING	ENGASE
PROTEIN_FOLDING	NPPC
PROTEIN_FOLDING	DNLZ
PROTEIN_FOLDING	PPIL6
PROTEIN_FOLDING	MPDU1
PROTEIN_FOLDING	PDIA2
PROTEIN_FOLDING	LMAN2L
PROTEIN_FOLDING	GRN
PROTEIN_FOLDING	B2M
PROTEIN_FOLDING	QSOX1
PROTEIN_FOLDING	PPIC
PROTEIN_FOLDING	POFUT2
PROTEIN_FOLDING	MOGS
PROTEIN_FOLDING	PDILT
PROTEIN_FOLDING	P4HB
PROTEIN_FOLDING	TBCC
PROTEIN_FOLDING	PPIF
PROTEIN_FOLDING	PPIE
PROTEIN_FOLDING	TBCEL
PROTEIN_FOLDING	TBCE
PROTEIN_FOLDING	DNAJC1
PROTEIN_FOLDING	CWC27
PROTEIN_FOLDING	DNAJC21
PROTEIN_FOLDING	LTBP4
PROTEIN_FOLDING	PPIL3
PROTEIN_FOLDING	ERP29
PROTEIN_FOLDING	TBCA
PROTEIN_FOLDING	TBCD
PROTEIN_FOLDING	PDIA3
PROTEIN_FOLDING	DNAJC25
PROTEIN_FOLDING	PPIH
PROTEIN_FOLDING	ALG12
PROTEIN_FOLDING	BAG5
PROTEIN_FOLDING	PPIL2
PROTEIN_FOLDING	PDIA6
PROTEIN_FOLDING	NFYC
PROTEIN_FOLDING	FUT10
PROTEIN_FOLDING	PDIA5
PROTEIN_FOLDING	MESD
PROTEIN_FOLDING	RANBP2
PROTEIN_FOLDING	QSOX2
PROTEIN_FOLDING	VAPA
PROTEIN_FOLDING	TXNDC9
PROTEIN_FOLDING	BAG4
PROTEIN_FOLDING	PPIG
PROTEIN_FOLDING	ARL2
PROTEIN_FOLDING	NKTR
PROTEIN_FOLDING	PRDX4
PROTEIN_FOLDING	DNAJC19
PROTEIN_FOLDING	HSPBP1
PROTEIN_FOLDING	PPIL1
PROTEIN_FOLDING	SNRNP70
PROTEIN_FOLDING	FKBP9
CHAPERONE_BINDING	SLC25A17
CHAPERONE_BINDING	USP13
CHAPERONE_BINDING	HLA-B
CHAPERONE_BINDING	SUGT1
CHAPERONE_BINDING	ATP1A3
CHAPERONE_BINDING	DNAAF6
CHAPERONE_BINDING	TSACC
CHAPERONE_BINDING	TIMM10
CHAPERONE_BINDING	ATP7A
CHAPERONE_BINDING	VWF
CHAPERONE_BINDING	BIN1
CHAPERONE_BINDING	PDPN
CHAPERONE_BINDING	GET4
CHAPERONE_BINDING	CDC25A
CHAPERONE_BINDING	UBL4A
CHAPERONE_BINDING	SCARB2
CHAPERONE_BINDING	FNIP1
CHAPERONE_BINDING	TIMM44
CHAPERONE_BINDING	CFTR
CHAPERONE_BINDING	PLG
CHAPERONE_BINDING	ATP1A1
CHAPERONE_BINDING	FNIP2
CHAPERONE_BINDING	CTSC
CHAPERONE_BINDING	ALB
CHAPERONE_BINDING	TP53
CHAPERONE_BINDING	BIRC2
CHAPERONE_BINDING	HSCB
CHAPERONE_BINDING	PRNP
CHAPERONE_BINDING	WRAP53
CHAPERONE_BINDING	BIRC5
CHAPERONE_BINDING	TERT
CHAPERONE_BINDING	GNB5
CHAPERONE_BINDING	FGB
CHAPERONE_BINDING	LRP2
CHAPERONE_BINDING	CP
CHAPERONE_BINDING	HES1
CHAPERONE_BINDING	TIMM9
CHAPERONE_BINDING	FN1
RESPONSE_TO_TEMPERATURE_STIMULUS	FOS
RESPONSE_TO_TEMPERATURE_STIMULUS	KCNK4
RESPONSE_TO_TEMPERATURE_STIMULUS	METRNL
RESPONSE_TO_TEMPERATURE_STIMULUS	NTSR1
RESPONSE_TO_TEMPERATURE_STIMULUS	CXCR4
